make,model,badge,category,displacement_cc,year,power_hp,engine,cooling,gearbox,transmission,dry_weight_kg,seat_height_mm,fuel_capacity_l,wheelbase_mm
Adiva,E-Moving,,Scooter,0,2014,0.8,Electric,Air,1-speed,,63,,,
Adiva,N125,,Scooter,124,2011,10.3,Single cylinder,Air,Automatic,,108,800,6,1320
Adiva,N125,,Scooter,124,2040,10.3,Single cylinder,,,,108,800,6,1320
Adiva,R125,,Scooter,124,2010,10.3,Single cylinder,,,,109,800,6,1320
Adiva,R125,,Scooter,124,2011,10.3,Single cylinder,Air,Automatic,Belt,109,800,6,1320
Adiva,VX-1,,Scooter,0,2021,14.8,Electric,Air,Automatic,,,775,,1524
Adler,Isdt,,Sport,247,1957,18,Twin,air,,Chain,,,12,
Adler,Isdt,,Sport,247,1958,18,Twin,Air,,Chain,,,12,
Adler,Junior 100 Luxus,,Scooter,100,1955,,Single cylinder,Air,,,,,,
Adler,Junior 100 Luxus,,Scooter,100,1956,,Single cylinder,Air,,,,,,
Adler,Junior 100 Luxus,,Scooter,100,1957,,Single cylinder,,,,,,,
Adler,M 100,,Sport,100,1955,,Single cylinder,Air,3-speed,Chain,70,,,
Adler,M 100,,Sport,100,1956,,Single cylinder,Air,3-speed,Chain,70,,7,
Adler,M 100,,Sport,100,1957,,Single cylinder,Air,3-speed,Chain,70,,7,
Adler,M 100,,Sport,100,1958,,Single cylinder,Air,3-speed,Chain,70,,7,
Adler,M 200,,Naked bike,200,1952,11,Twin,Air,4-speed,Chain,130,,,
Adler,M 200,,Naked bike,200,1953,11,Twin,Air,4-speed,Chain,130,,,
Adler,M 200,,Naked bike,200,1954,11,Twin,Air,4-speed,Chain,130,,,
Adler,M 250,,Custom / cruiser,250,1952,16,Twin,Air,4-speed,Chain,135,,12,
Adler,M 250,,Custom / cruiser,250,1953,16,Twin,Air,4-speed,,135,,12,
Adler,M 250,,Custom / cruiser,250,1954,16,Twin,Air,4-speed,,135,,12,
Adler,M 250 S,,Allround,247,1952,16,Twin,Air,4-speed,Chain,135,,12,
Adler,M 250 S,,Allround,247,1953,16,Twin,Air,4-speed,Chain,135,,,
Adler,M 250 S,,Allround,247,1954,16,Twin,Air,4-speed,Chain,135,,,
Adler,M 250 S,,Allround,247,1955,16,Twin,Air,4-speed,Chain,,,,
Adler,M 250 S,,Allround,247,1956,,Twin,Air,4-speed,Chain,,,,
Adler,MB 250 RS,,Cross / motocross,247,1954,,Twin,Air,,Chain,,,12,1257
Adler,MB 250 RS,,Cross / motocross,247,1955,,Twin,Air,,Chain,,,12,1257
Adler,MB 250 RS,,Cross / motocross,247,1956,,Twin,Air,,Chain,,,12,1257
Adler,MBS 250 Favorit,,Allround,250,1957,16,Twin,Air,4-speed,Chain,165,,15,
Adler,MBS 250 Favorit,,Allround,250,1958,16,Twin,Air,4-speed,Chain,165,,15,
Adler,MBS 250 Favorit,,Allround,250,1959,16,Twin,Air,4-speed,Chain,165,,15,
Adler,MBS 250 Favorit,,Allround,250,1960,16,Twin,Air,4-speed,Chain,165,,15,
Adly,Bullet 125,,Cross / motocross,122,2007,,Single cylinder,Air,4-speed,Chain,,800,3.75,1047
Adly,Bullet 125 Supermotard,,Super motard,122,2007,,Single cylinder,Air,4-speed,Chain,,800,3.75,1047
Adly,CAT 100,,Scooter,95,2007,8.6,Single cylinder,Air,Automatic,,75,,,1210
Adly,CAT 100,,Scooter,95,2008,8.6,Single cylinder,Air,Automatic,,75,,,1210
Adly,CAT 125 B,,Scooter,124,2008,,Single cylinder,Air,Automatic,,92,,,1240
Adly,CAT 125 D,,Scooter,124,2008,,Single cylinder,Air,Automatic,,92,,,1240
Adly,CAT 125 S,,Scooter,124,2008,,Single cylinder,Air,Automatic,,85,,,1230
Adly,CAT 125B,,Scooter,124,2007,8.4,Single cylinder,Air,Automatic,,92,,,1240
Adly,CAT 125D,,Scooter,124,2007,8.4,Single cylinder,Air,Automatic,,92,,,1240
Adly,CAT 125S,,Scooter,124,2007,8.6,Single cylinder,Air,Automatic,,85,,,1230
Adly,CAT 125S,,Scooter,124,2009,,Single cylinder,Air,Automatic,,85,,,1230
Adly,CAT 50,,Scooter,49,2007,5,Single cylinder,Air,Automatic,,75,,,1210
Adly,CAT 50,,Scooter,49,2008,5,Single cylinder,Air,Automatic,,75,,,1210
Adly,CAT 50,,Scooter,49,2009,5,Single cylinder,Air,Automatic,,75,,,1210
Adly,E-Bike 2ND Generation,,Scooter,0,2009,,Electric,Air,Automatic,Belt,54,,,890
Adly,E-Bike FUN Cruiser,,Scooter,0,2009,,Electric,Air,Automatic,Belt,46.9,650,,910
Adly,FC-25 E-Bike FUN Cruiser,,Scooter,0,2010,,Electric,Air,Automatic,Belt,46.9,650,,910
Adly,FC-25 II 2ND GEN E-Bike,,Scooter,0,2010,,Electric,Air,Automatic,,52,,,890
Adly,FOX 50 (2T),,Scooter,49,2007,3.7,Single cylinder,Air,,,75,762,6.2,1220
Adly,FOX 50 (4T),,Scooter,49,2007,3.7,Single cylinder,Air,,,75,762,6.2,1220
Adly,FUN Cruiser (I),,Scooter,0,2007,,Electric,Oil & air,Automatic,,,650,,910
Adly,FUN Cruiser (ii),,Scooter,0,2007,,Electric,Oil & air,Automatic,,,650,,890
Adly,GTA-125,,Scooter,125,2018,,Single cylinder,Air,Automatic,Belt,98,780,6,
Adly,GTA-125,,Scooter,124,2019,,Single cylinder,Air,Automatic,Belt,98,780,6,1320
Adly,GTA-150,,Scooter,149,2018,,Single cylinder,Air,Automatic,Belt,98,780,6,
Adly,GTA-150,,Scooter,149,2019,,Single cylinder,Air,Automatic,Belt,98,780,6,1320
Adly,GTA-50,,Scooter,49,2018,,Single cylinder,Air,Automatic,Belt,88,780,6,
Adly,GTC Bullseye,,Scooter,49,2018,,Single cylinder,Air,Automatic,Belt,78,800,6,
Adly,JET 100,,Scooter,95,2007,7.5,Single cylinder,Air,Automatic,,75,,,
Adly,JET 100,,Scooter,95,2008,7.5,Single cylinder,,Automatic,,,,,1220
Adly,JET 50,,Scooter,49,2007,3.7,Single cylinder,Air,,,75,762,6.2,1220
Adly,JET 50,,Scooter,49,2008,,Single cylinder,,Automatic,,,,,1220
Adly,JET 50,,Scooter,49,2009,5,Single cylinder,Air,Automatic,,74.8,,,1220
Adly,MM-50,,ATV,49,2018,,Single cylinder,Air,Automatic,Belt,75,515,3.5,800
Adly,Noble 100,,Scooter,95,2008,7.1,Single cylinder,Air,Automatic,,77,,,1250
Adly,Noble 125,,Scooter,124,2008,8.6,Single cylinder,Air,Automatic,,90,,6,1255
Adly,Noble 125,,Scooter,124,2009,8.6,Single cylinder,Air,Automatic,Belt,90,,6,1255
Adly,Noble 50,,Scooter,49,2008,3.7,Single cylinder,Air,Automatic,,77,,,1250
Adly,Noble 50,,Scooter,49,2009,3.7,Single cylinder,Air,Automatic,Belt,77,,,1250
Adly,Panther 100,,Scooter,95,2007,,Single cylinder,Air,Automatic,,83,815,6.2,1240
Adly,Panther 100,,Scooter,95,2008,,Single cylinder,Air,,,83,815,6.2,1240
Adly,Panther 50,,Scooter,49,2008,,Single cylinder,Air,,,83,815,6.2,1240
Adly,Panther-50 (2T),,Scooter,49,2007,3.7,Single cylinder,Air,,,75,815,6.2,1240
Adly,Panther-50 (4T),,Scooter,49,2077,3.7,Single cylinder,Air,,,75,815,6.2,1240
Adly,Road Tracer 50,,Cross / motocross,49,2007,,Single cylinder,Air,Automatic,,75,,6.2,1046
Adly,Road Tracer 50,,"Minibike, sport",49,2008,,Single cylinder,Air,Automatic,,75,,6.2,1046
Adly,Road Tracer 90,,Cross / motocross,85,2007,,Single cylinder,Air,Automatic,,78,,6.2,1100
Adly,Road Tracer 90,,"Minibike, sport",85,2008,,Single cylinder,Air,4-speed,,78,,17.29,1100
Adly,RT 50 Roadtracer,,"Minibike, sport",49,2010,,Single cylinder,Air,Automatic,Belt,75,,6.2,1046
Adly,RT 50 Roadtracer,,"Minibike, sport",49,2011,,Single cylinder,Air,Automatic,Belt,75,,6.2,1046
Adly,RT-100 Road Tracer,,"Minibike, sport",95,2009,,Single cylinder,Air,Automatic,Belt,78,,4.75,1046
Adly,RT-100 Road Tracer,,Allround,95,2018,,Single cylinder,Air,Automatic,Belt,76,720,6,1046
Adly,RT-50 Road Tracer,,"Minibike, sport",49,2009,,Single cylinder,Air,Automatic,Belt,75,,6.2,1046
Adly,RT-50 Road Tracer,,Allround,49,2018,,Single cylinder,Air,Automatic,Belt,75,720,6,1046
Adly,RT-90 Road Tracer,,"Minibike, sport",85,2009,,Single cylinder,Air,Automatic,Belt,78,,,1100
Adly,SF-100 Silver FOX,,Scooter,95,2010,7.5,Single cylinder,Air,Automatic,,77,,,1220
Adly,SF-50 Silver FOX,,Scooter,49,2010,3.7,Single cylinder,Air,Automatic,Belt,76,,,1220
Adly,Silver FOX 100,,Scooter,95,2007,7.5,Single cylinder,Air,Automatic,,75,,,1220
Adly,Silver FOX 100,,Scooter,95,2008,7.5,Single cylinder,Air,Automatic,,75,,,1220
Adly,Silver FOX 50,,Scooter,49,2007,3.7,Single cylinder,Air,Automatic,,75,,,1220
Adly,Silver FOX 50,,Scooter,49,2008,3.7,Single cylinder,Air,Automatic,,75,,,1220
Adly,Silverfox 50,,Scooter,49,2003,,Single cylinder,Air,,,75,,5.8,
Adly,Super Sonic 100,,Scooter,95,2008,7.5,Single cylinder,Air,Automatic,,77,,,1250
Adly,Super Sonic 125,,Scooter,124,2008,8.6,Single cylinder,Air,Automatic,,90,,,1255
Adly,Super Sonic 125,,Scooter,124,2009,8.6,Single cylinder,Air,Automatic,Belt,90,,,1255
Adly,Super Sonic 50,,Scooter,49,2008,3.7,Single cylinder,Air,Automatic,,77,,,1250
Adly,Super Sonic 50,,Scooter,49,2009,3.7,Single cylinder,Air,Automatic,Belt,77,,,
Adly,Supersonic 100,,Scooter,95,2007,7.5,Single cylinder,Air,Automatic,,77,,,1250
Adly,Supersonic 125,,Scooter,124,2007,8.6,Single cylinder,Air,Automatic,,90,,,1250
Adly,Supersonic 50,,Scooter,49,2007,3.7,Single cylinder,Air,Automatic,,77,,,1250
Adly,Thunder 125,,Scooter,124,2009,6.8,Single cylinder,Air,Automatic,Belt,90,,,1255
Adly,Thunder 50,,Scooter,49,2009,3.7,Single cylinder,Air,Automatic,Belt,77,,,1250
Adly,Thunder Bike 100,,Scooter,95,2007,7.5,Single cylinder,Air,Automatic,,77,,,1250
Adly,Thunder Bike 100,,Scooter,95,2008,7.5,Single cylinder,Air,Automatic,,77,,,1250
Adly,Thunder Bike 125,,Scooter,124,2007,8.6,Single cylinder,Air,Automatic,,90,,,1255
Adly,Thunder Bike 125,,Scooter,124,2008,7.8,Single cylinder,Air,Automatic,,90,,,1255
Adly,Thunder Bike 150,,Scooter,150,2007,13.1,Single cylinder,Oil & air,,,90,,6,1255
Adly,Thunder Bike 50,,Scooter,49,2007,3.7,Single cylinder,Air,,,77,,6,1250
Adly,Thunder Bike 50,,Scooter,49,2008,3.7,Single cylinder,Air,Automatic,,77,,,1250
Aeon,3D-350,,Scooter,346,2018,25,Single cylinder,Liquid,Automatic,Chain,212.5,790,13.5,1565
Aeon,3D-350,,Scooter,346,3019,27,Single cylinder,Liquid,Automatic,Chain,212.5,790,13.5,1565
Aeon,3D-350 R,,Scooter,346,2019,30,Single cylinder,Liquid,Automatic,Chain,224,790,13.5,1565
Aeon,AE-11 Pulsar 100,,Scooter,96,2008,,Single cylinder,Air,Automatic,Belt,110,,6,
Aeon,AE-12 Pulsar 150,,Scooter,149,2008,,Single cylinder,Air,Automatic,Belt,110,,6,
Aeon,AE-6 Echo,,Scooter,49,2008,,Single cylinder,Air,Automatic,Belt,79,,6,
Aeon,AE-9 Pulsar 125,,Scooter,124,2008,,Single cylinder,Air,Automatic,Belt,110,,6,
Aeon,AM-1 Aero 50,,Scooter,49,2008,,Single cylinder,Air,Automatic,Belt,88,,6,
Aeon,AM-2 Aero 100,,Scooter,95,2008,,Single cylinder,Air,Automatic,Belt,89,,6,
Aeon,AX-50,,"Minibike, cross",49,2009,,Single cylinder,,Automatic,,45,535,5,850
Aeon,AX-50 Mini-Bike,,"Minibike, cross",49,2008,,Single cylinder,,Automatic,Belt,46,535,5,850
Aeon,CO-IN 125I,,Scooter,124,2012,,Single cylinder,Liquid,Automatic,Chain,94,740,5.5,1210
Aeon,Cobra  RS 180,,ATV,169,2010,8.7,Single cylinder,Liquid,Automatic,Chain,165,790,8,1050
Aeon,Cobra 100,,ATV,95,2019,6.4,Single cylinder,Air,,Chain,,800,5,
Aeon,Cobra 220,,Prototype / concept model,196,2008,12.1,Single cylinder,Air,,,193,,7.3,1155
Aeon,Cobra 220,,ATV,196,2009,12.1,Single cylinder,Air,Automatic,Chain,193,790,7.3,1155
Aeon,Cobra 220,,ATV,196,2019,12.1,Single cylinder,air,Automatic,Chain,193,790,7.3,1155
Aeon,Cobra 320,,Prototype / concept model,272,2008,18.8,Single cylinder,,,,206,790,8.5,1300
Aeon,Cobra 320,,ATV,272,2009,19.4,Single cylinder,Liquid,Automatic,Chain,211,790,7.3,1300
Aeon,Cobra 320,,ATV,196,2010,16.1,Single cylinder,Liquid,Automatic,Chain,77,550,7.3,745
Aeon,Cobra 400,,ATV,346,2012,20.1,Single cylinder,Liquid,Automatic,,207,790,9.3,1300
Aeon,Cobra 400,,ATV,346,2019,,Single cylinder,Liquid,,Chain,,790,,1300
Aeon,Cobra 400 EFI,,ATV,346,2021,20.1,Single cylinder,Liquid,,Chain,,800,9.3,1290
Aeon,Cobra 400 Supermoto,,ATV,346,2022,20.1,Single cylinder,Liquid,Automatic,Belt,207,780,9.3,1300
Aeon,Cobra 50,,ATV,49,2009,3.6,Single cylinder,Air,,Shaft drive,130,800,5,1050
Aeon,Cobra 50,,ATV,49,2010,3.6,Single cylinder,Air,1-speed,Shaft drive,130,800,5,1050
Aeon,Cobra 50,,ATV,49,2012,3,Single cylinder,Air,Automatic,Shaft drive,129,800,5,1050
Aeon,Cobra 50,,ATV,49,2019,3.6,Single cylinder,,,Chain,,800,5,1050
Aeon,Cobra Supermoto,,ATV,346,2018,20.1,Single cylinder,Liquid,Automatic,Belt,207,780,9.3,1300
Aeon,Cobra Supermoto,,ATV,346,2019,20.1,Single cylinder,Liquid,Automatic,Belt,207,780,9.3,1300
Aeon,Crossland 300,,ATV,272,2009,18.1,Single cylinder,Liquid,Automatic,Shaft drive,233,850,14,1230
Aeon,Crossland 300,,ATV,272,2010,18.1,Single cylinder,Liquid,Automatic,Shaft drive,233,850,14,1230
Aeon,Crossland 600 EFI,,ATV,565,2018,20.1,Single cylinder,Liquid,4-speed,Shaft drive,411,920,23,1360
Aeon,Crossland RX 400,,ATV,346,2012,20.1,Single cylinder,Liquid,Automatic,Shaft drive,230,850,14,1230
Aeon,Crossland X4 400,,ATV,346,2012,20.1,Single cylinder,Liquid,Automatic,Shaft drive,236,850,14,1230
Aeon,Elite 125,,Scooter,124,2012,10.5,Single cylinder,Liquid,Automatic,Chain,165,800,13.5,1545
Aeon,Elite 200I,,Scooter,183,2012,,Single cylinder,Liquid,Automatic,Chain,167,800,,
Aeon,Elite 250I,,Scooter,249,2019,22.1,Single cylinder,Liquid,Automatic,Chain,167,750,13.5,1545
Aeon,Elite 350I,,Scooter,313,2012,22.8,Single cylinder,Liquid,Automatic,Chain,172,800,13.5,1545
Aeon,Elite 400I,,Scooter,346,2014,26.6,Single cylinder,Liquid,Automatic,Chain,172,800,13.5,1545
Aeon,Elite 400I ABS,,Scooter,346,2018,32.2,Single cylinder,Liquid,Automatic,Chain,180,800,13.5,1545
Aeon,Elite 400I ABS,,Scooter,346,2019,27,Single cylinder,Liquid,Automatic,Chain,180,800,13.5,1545
Aeon,ES 150,,Scooter,149,2019,14,Single cylinder,Air,Automatic,Belt,124,774,7,1260
Aeon,Minikolt 50,,ATV,49,2009,3.6,Single cylinder,Air,,Chain,77,550,3.4,745
Aeon,Minikolt 50,,ATV,49,2010,3.2,Single cylinder,Air,Automatic,Chain,77,550,3.4,745
Aeon,Minikolt 50,,ATV,49,2012,3.2,Single cylinder,Air,Automatic,Chain,77,550,3.4,745
Aeon,MY 125I,,Allround,124,2012,10.7,Single cylinder,Air,5-speed,Chain,108,735,6,1210
Aeon,MY 150,,Allround,149,2019,14,Single cylinder,Air,5-speed,Chain,118,735,6,1210
Aeon,Overland 180,,ATV,169,2010,8.7,Single cylinder,Air,Automatic,Shaft drive,178,770,8,1065
Aeon,Overland 200 T3,,ATV,176,2018,13.1,Single cylinder,Air,,Chain,195,800,9,1115
Aeon,Overland 600,,ATV,565,2012,20.1,Single cylinder,Liquid,Automatic,Shaft drive,342,820,24,1294
Aeon,OZS 150,,Scooter,150,2019,14,Single cylinder,Air,Automatic,Belt,110,750,7,1260
Aeon,OZS 150 Dual Discs,,Scooter,150,2019,,Single cylinder,Air,Automatic,Belt,124,,7,1260
Aeon,Quadro 350D,,Scooter,313,2012,22.8,Single cylinder,Liquid,Automatic,Chain,200,780,13,
Aeon,Revo 100,,ATV,96,2010,6.6,Single cylinder,Air,Automatic,Belt,119,710,5,970
Aeon,Revo 50,,ATV,49,2010,3.6,Single cylinder,Air,Automatic,Shaft drive,115,710,5,970
Aeon,Urban 125,,Scooter,124,2012,14.1,Single cylinder,Liquid,Automatic,Chain,168,815,13.5,1545
Aeon,Urban 350I,,Scooter,313,2012,22.8,Single cylinder,Liquid,Automatic,Chain,177,815,13.5,1545
Aeon,Urban 350I,,Scooter,313,2014,22.8,Single cylinder,Liquid,Automatic,Chain,177,815,13.5,1545
Aeon,Xboy 10,,"Minibike, cross",49,2012,3.4,Single cylinder,Liquid,,Chain,50,600,2,820
Aeon,Xboy 12,,"Minibike, cross",49,2012,9.4,Single cylinder,Air,Automatic,Chain,55,650,2,1000
Aermacchi,250 ALA Verde Serie 1,,Sport,246,1959,16,Single cylinder,Air,4-speed,Chain,114,,17,1270
Aermacchi,250 ALA Verde Serie 1,,Sport,246,1960,16,Single cylinder,Air,4-speed,Chain,114,,17,1270
Aermacchi,250 ALA Verde Serie 1,,Sport,246,1961,16,Single cylinder,Air,,Chain,114,,17,1270
Aermacchi,250 ALA Verde Serie 1,,Sport,246,1962,16,Single cylinder,Air,,Chain,114,,17,1270
Aermacchi,250 ALA Verde Serie 1,,Sport,246,1963,16,Single cylinder,Air,,Chain,114,,17,1270
Aermacchi,250 ALA Verde Serie 1,,Sport,246,1964,16,Single cylinder,Air,,Chain,114,,17,1270
Aermacchi,250 ALA Verde Serie 1,,Sport,246,1965,16,Single cylinder,Air,,Chain,114,,17,1270
Aermacchi,250 ALA Verde Serie 1,,Sport,246,1966,16,Single cylinder,Air,,Chain,114,,,1270
Aermacchi,250 ALA Verde Serie 1,,Sport,246,1967,16,Single cylinder,Air,,Chain,114,,,1270
Aermacchi,250 ALA Verde Serie 2,,Sport,246,1968,18,Single cylinder,Air,4-speed,Chain,135,,17,1321
Aermacchi,250 ALA Verde Serie 2,,Sport,246,1969,18,Single cylinder,Air,4-speed,Chain,135,,17,1321
Aermacchi,350 TV,,Classic,344,1971,27,Single cylinder,Air,5-speed,Chain,,,15,
Aermacchi,350 TV,,Classic,344,1972,27,Single cylinder,Air,5-speed,Chain,,,15,
Aermacchi,ALA Bianca 175,,Sport,174,1957,9.4,Single cylinder,Air,4-speed,Chain,110,,17,1270
Aermacchi,ALA Bianca 175,,Sport,174,1958,9.4,Single cylinder,Air,4-speed,Chain,110,,17,1270
Aermacchi,ALA Bianca 175,,Sport,174,1959,9.4,Single cylinder,Air,4-speed,Chain,110,,17,
Aermacchi,ALA Bianca 175,,Sport,174,1960,9.4,Single cylinder,Air,4-speed,Chain,110,,17,
Aermacchi,ALA Bianca 175,,Sport,174,1961,9.4,Single cylinder,Air,4-speed,Chain,110,,17,
Aermacchi,ALA Bianca 175,,Sport,174,1962,9.4,Single cylinder,Air,4-speed,Chain,110,,17,
Aermacchi,ALA Bianca 175,,Sport,174,1963,9.4,Single cylinder,Air,4-speed,Chain,110,,17,
Aermacchi,ALA Bianca 175,,Sport,174,1964,9.4,Single cylinder,Air,4-speed,Chain,110,,,
Aermacchi,ALA D ORO,,Allround,246,1960,24.8,Single cylinder,Air,4-speed,Chain,110,,17,
Aermacchi,ALA D ORO,,Allround,246,1961,24.8,Single cylinder,Air,4-speed,Chain,110,,17,
Aermacchi,ALA D ORO,,Allround,246,1962,24.8,Single cylinder,Air,4-speed,Chain,110,,17,
Aermacchi,ALA D ORO,,Allround,246,1963,24.8,Single cylinder,Air,4-speed,Chain,110,,17,
Aermacchi,ALA D ORO,,Allround,246,1964,24.8,Single cylinder,Air,4-speed,Chain,110,,17,
Aermacchi,ALA D ORO,,Allround,246,1965,24.8,Single cylinder,Air,4-speed,Chain,110,,17,
Aermacchi,ALA D ORO,,Allround,246,1966,24.8,Single cylinder,Air,4-speed,Chain,110,,17,
Aermacchi,ALA D ORO,,Allround,246,1967,24.8,Single cylinder,Air,4-speed,Chain,110,,17,
Aermacchi,ALA D ORO,,Allround,246,1968,24.8,Single cylinder,Air,4-speed,Chain,110,,17,
Aermacchi,ALA Verde Sport,,Sport,246,1970,18.5,Single cylinder,Air,5-speed,Chain,,,17,
Aermacchi,Chimera 175,,Sport,172,1956,,Single cylinder,Air,4-speed,Chain,122,,,
Aermacchi,Chimera 175,,Sport,172,1957,,Single cylinder,Air,4-speed,Chain,122,,,
Aermacchi,Chimera 175,,Sport,172,1958,,Single cylinder,Air,4-speed,Chain,122,,,
Aermacchi,Chimera 175,,Sport,172,1959,,Single cylinder,Air,4-speed,Chain,122,,,
Aermacchi,Chimera 175,,Sport,172,1960,,Single cylinder,Air,4-speed,Chain,122,,,
Aermacchi,Chimera 175,,Sport,172,1961,,Single cylinder,Air,4-speed,Chain,122,,,
Aermacchi,Chimera 175,,Sport,172,1962,,Single cylinder,Air,4-speed,Chain,122,,,
